episode,restaurant,city,address,lat,lon,precision,score,tags,video_id,url,transcript_path
84,Rigo's Mexican Restaurant,Greeley,"711 O St, Greeley, CO 80631",40.420806,-104.714752,restaurant,3.2,,uXx_bxhvXbU,https://youtube.com/shorts/uXx_bxhvXbU,transcripts/001_Green_Chile_Reviews_Ep_84_-_Rigos_Mexican_Restaurant_uXx_bxhvXbU.txt
83,Cocina Y Cantina,Loveland,"3151 N Garfield Ave, Loveland, CO 80538",40.424444,-105.077661,restaurant,3.5,"vegetarian,pork,gravy-style",cKSAEJUmmSk,https://youtube.com/shorts/cKSAEJUmmSk,transcripts/001_Green_Chile_Reviews_Episode_83_-_Cocina_Y_Cantina_cKSAEJUmmSk.txt
82,Jus' Burritos,Broomfield,"Jus Burritos, 7502, Outdoor Dining Patio Area, Broomfield, Colorado, 80020, United States",39.914927,-105.0824385,restaurant,3.4,"vegetarian,gluten-free,hatch/NM chilies",h-q4CVhnN4g,https://youtube.com/shorts/h-q4CVhnN4g,transcripts/001_Green_Chile_Reviews_Ep_82_-_Jus_Burritos_h-q4CVhnN4g.txt
81,La Choza,Boulder,"La Choza, 4457, Broadway, Holiday, Boulder, Boulder County, Colorado, 80304, United States",40.0555,-105.28266,restaurant,3.5,vegetarian,BkzsDbmyXbo,https://youtube.com/shorts/BkzsDbmyXbo,transcripts/002_Green_Chile_Reviews_Ep_81_-_La_Choza_BkzsDbmyXbo.txt
80,Rio Grande Mexican Restaurant,Fort Collins,"143 W Mountain Ave, Fort Collins, CO 80524",40.586952,-105.078307,restaurant,4.8,"vegetarian,pork",yV70PreAzr4,https://youtube.com/shorts/yV70PreAzr4,transcripts/003_Green_Chile_Reviews_Ep_80_-_Rio_Grande_Mexican_Restaurant_greenchile_yV70PreAzr4.txt
79,Senor Rafael at the Mexican Inn,Loveland,"804 S Lincoln Ave, Loveland, CO 80537",40.384008,-105.073463,restaurant,4.3,"super-hot,gravy-style",HFds40n8VfQ,https://youtube.com/shorts/HFds40n8VfQ,transcripts/004_Green_Chile_Reviews_Ep_79_-_Senor_Rafael_at_the_Mexican_Inn_greenchile_HFds40n8VfQ.txt
78,El Tejado,Denver,"2651 S Broadway, Denver, CO 80210",39.668567,-104.987684,restaurant,3.7,pork,34n0F6DBH04,https://youtube.com/shorts/34n0F6DBH04,transcripts/005_Green_Chile_Reviews_Ep_78_-_El_Tejado_34n0F6DBH04.txt
77,El Taco De Mexico,Denver,"El Taco De Mexico, 714, North Santa Fe Drive, La Alma–Lincoln Park, Denver, Colorado, 80204, United States",39.7276374,-104.9982893,restaurant,4.7,gravy-style,rNZwVd6fZZ0,https://youtube.com/shorts/rNZwVd6fZZ0,transcripts/006_Green_Chile_Reviews_Ep_77_-_El_Taco_De_Mexico_with_Denver_Westword_rNZwVd6fZZ0.txt
76,Monaghan's Bar and Grill,Denver,"Stoney's Bar and Grill, 1111, Lincoln Street, Denver, CO",39.7342327,-104.9863534,restaurant,4.9,pork,Qr9aQQrx_MY,https://youtube.com/shorts/Qr9aQQrx_MY,transcripts/007_Green_Chile_Reviews_Ep_76_-_Monaghans_Bar_and_Grill_Qr9aQQrx_MY.txt
75,Gabe's Cafe,Frederick,"Gabe's Cafe, 8th Street, Dacono, Weld County, Colorado, 80530, United States",40.0875534,-104.9354812,restaurant,4.5,"vegetarian,gluten-free,pork,smooth",Hxr7bo7InZo,https://youtube.com/shorts/Hxr7bo7InZo,transcripts/008_Green_Chile_Reviews_Ep_75_-_Gabes_Cafe_Hxr7bo7InZo.txt
